device,status,shot_id,mode,R_m,a_m,Bt_T,Ip_MA,ne_19,Te_keV,tauE_s,Pheat_MW,Pfus_MW,Q,aspect_ratio,volume_m3
ITER,在建,ITER_low,low,6.2,2.0,5.3,8.623620356542087,6.901428612819832,13.659969709057023,1.553007278305807,21.560186404424368,0.0,0.0,3.1,489.5323782940322
ITER,在建,ITER_mid,mid,6.2,2.0,5.3,15.0,10.0,25.0,3.7,50.0,500.0,10.0,3.1,489.5323782940322
ITER,在建,ITER_high,high,6.2,2.0,5.3,16.96798356100861,11.1742508365046,36.49632109331201,5.32965021737995,70.62108866694068,553.0876741443705,7.83176363582856,3.1,489.5323782940322
JET,运行,JET_low,low,2.96,1.25,3.45,2.7759278817295954,2.665954112640337,4.424678221356552,0.30272849409727814,17.46723607882747,0.0,0.0,2.368,91.29384071007655
JET,运行,JET_mid,mid,2.96,1.25,3.45,4.0,4.0,10.0,0.9,40.0,16.0,0.67,2.368,91.29384071007655
JET,运行,JET_high,high,2.96,1.25,3.45,4.643393794367631,5.0297077179586855,13.295835055926347,1.184842490471295,55.34223473666855,18.2695705311298,0.3301198554424255,2.368,91.29384071007655
DIII-D,运行,DIII-D_low,low,1.67,0.67,2.0,1.228543645355496,3.4396342119524297,2.4560699842170357,0.11425879806965068,8.798695128633439,0.0,0.0,2.4925373134328357,14.797754488267705
DIII-D,运行,DIII-D_mid,mid,1.67,0.67,2.0,2.2,6.0,5.0,0.25,20.0,0.0,0.0,2.4925373134328357,14.797754488267705
DIII-D,运行,DIII-D_high,high,1.67,0.67,2.0,2.646263152901989,7.666346223951677,6.069675619079996,0.36075448519014386,25.023144742123748,0.0,0.0,2.4925373134328357,14.797754488267705
EAST,运行,EAST_low,low,1.85,0.45,3.5,0.5130103185970559,3.448885537253333,1.7793792198447353,0.13850384088698767,6.913841307520112,0.0,0.0,4.111111111111112,7.394801097516202
EAST,运行,EAST_mid,mid,1.85,0.45,3.5,1.0,5.0,3.0,0.3,15.0,0.0,0.0,4.111111111111112,7.394801097516202
EAST,运行,EAST_high,high,1.85,0.45,3.5,1.119534422801277,6.526349539768235,3.996137244365641,0.3746445881813735,20.228296095500717,0.0,0.0,4.111111111111112,7.394801097516202
KSTAR,运行,KSTAR_low,low,1.8,0.5,3.5,1.0137554084460874,3.7502524422866603,1.8070239852800136,0.2162522284353982,6.472791013050351,0.0,0.0,3.6,8.882643960980422
KSTAR,运行,KSTAR_mid,mid,1.8,0.5,3.5,2.0,5.5,4.0,0.5,14.0,0.0,0.0,3.6,8.882643960980422
KSTAR,运行,KSTAR_high,high,1.8,0.5,3.5,2.4080272084711245,6.952071960916411,5.021825346630632,0.7939169255529117,20.055557858116682,0.0,0.0,3.6,8.882643960980422
WEST,运行,WEST_low,low,2.5,0.5,3.7,1.0318496824692565,4.073792820513178,2.078319983048868,0.19374993880184935,6.265477506155759,0.0,0.0,5.0,12.337005501361698
WEST,运行,WEST_mid,mid,2.5,0.5,3.7,1.5,6.0,4.0,0.4,15.0,0.0,0.0,5.0,12.337005501361698
WEST,运行,WEST_high,high,2.5,0.5,3.7,1.7087948587257435,6.681409120038969,5.190396396915917,0.5421883663503171,19.221070642982532,0.0,0.0,5.0,12.337005501361698
ASDEX-U,运行,ASDEX-U_low,low,1.65,0.5,3.1,0.9320465025625401,3.999454657371025,2.0528410587186428,0.1634156866526599,8.563696899899051,0.0,0.0,3.3,8.14242363089872
ASDEX-U,运行,ASDEX-U_mid,mid,1.65,0.5,3.1,1.4,7.0,4.5,0.4,20.0,0.0,0.0,3.3,8.14242363089872
ASDEX-U,运行,ASDEX-U_high,high,1.65,0.5,3.1,1.764615154611131,7.856556351727519,6.732297364410698,0.6035591630874653,25.192294089205035,0.0,0.0,3.3,8.14242363089872
JT-60SA,运行,JT-60SA_low,low,2.96,1.02,2.25,2.756074328835963,2.652369142763867,2.7068573438476173,0.22290071680409873,13.302097664092539,0.0,0.0,2.9019607843137254,60.78855159984874
JT-60SA,运行,JT-60SA_mid,mid,2.96,1.02,2.25,5.5,4.0,5.0,0.5,24.0,0.0,0.0,2.9019607843137254,60.78855159984874
JT-60SA,运行,JT-60SA_high,high,2.96,1.02,2.25,6.1314491169075,4.830158874253128,6.173803589287694,0.7726206851751187,33.28774651315841,0.0,0.0,2.9019607843137254,60.78855159984874
MAST-U,运行,MAST-U_low,low,0.85,0.65,0.92,1.1323592099410598,2.050846680228819,1.155491160857831,0.05475549966080241,2.7296061783380643,0.0,0.0,1.3076923076923077,7.088843361082431
