shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
1002593,ok,60ch_prm,766241,10,1.318,0.065037,0.056446,0.192569,0.000908,0,0.0,0.738095,0.010832,0.715474,0.002096,0.412412
1002643,ok,60ch_prm,765385,10,1.405,0.059877,0.057199,0.199425,0.000882,1,0.08421304373251141,0.716667,0.01,0.695431,0.002015,0.434611
1002654,ok,60ch_prm,765111,10,1.337,0.063134,0.055667,0.198388,0.00099,0,0.0,0.69881,0.010333,0.707899,0.001979,0.421018
75660,ok,60ch_prm,1013781,14,14.198,0.160524,0.078371,0.326737,0.0,1,1.8368179006096386,0.624762,0.852196,0.732884,0.001686,0.381871
75685,ok,80ch_prm,1717476,23,23.574,0.153506,0.053492,0.361706,0.054764,0,0.0,0.349104,0.087315,0.444652,0.00157,0.57714
75702,ok,48ch_prm,939818,19,19.584,0.153262,0.052341,0.312531,0.002446,0,0.0,0.461712,0.068008,0.509371,0.004304,0.516004
75707,ok,32ch_prm,618967,20,20.029,0.108858,0.045768,0.182825,0.0,1,0.5834929305484343,0.305981,0.009687,0.403112,0.003002,0.607847
75727,ok,80ch_prm,1717855,23,23.477,0.155477,0.051151,0.326149,0.058085,1,1.5713637389223414,0.347137,0.087078,0.444154,0.001509,0.576883
75728,ok,32ch_prm,641715,20,20.032,0.121654,0.034048,0.179446,0.0,0,0.0,0.301144,0.01,0.407723,0.003677,0.604353
75774,ok,48ch_prm,942242,19,19.564,0.149605,0.053206,0.345738,0.079215,1,0.5816390633373931,0.463242,0.071532,0.508508,0.003664,0.519867
75783,ok,32ch_prm,647434,20,20.023,0.118231,0.039229,0.182141,0.0,1,0.5833000942910946,0.304455,0.009687,0.402055,0.003727,0.609727
75805,ok,48ch_prm,1578571,20,20.622,0.14415,0.048391,0.256025,0.064341,1,1.8516951692975816,0.306774,0.492791,0.400416,0.001687,0.606744
75815,ok,48ch_prm,938053,19,19.843,0.144142,0.049967,0.313218,0.063939,0,0.0,0.463423,0.0645,0.504559,0.003772,0.523615
75835,ok,48ch_prm,1795977,23,23.359,0.142838,0.067323,0.297944,0.00098,1,3.1702301178305654,0.316809,0.451053,0.400302,0.001308,0.622625
75844,ok,48ch_prm,956236,18,18.721,0.147388,0.048636,0.364308,0.076936,0,0.0,0.444735,0.075199,0.484364,0.003511,0.541227
75847,ok,32ch_prm,706247,24,24.412,0.161984,0.083881,0.3051,0.0,1,3.688526941747884,0.368987,0.59999,0.466232,0.00235,0.609251
75857,ok,60ch_prm,1210819,17,17.841,0.331292,0.138506,0.543443,0.0,1,9.108195814759364,0.574771,0.894752,0.660706,0.013556,0.476835
75866,ok,60ch_prm,1110392,17,17.269,0.217145,0.08715,0.35609,0.0,1,7.559036711116041,0.565581,0.885497,0.735605,0.002236,0.434288
75885,ok,32ch_prm,905124,36,36.993,0.184184,0.081242,0.320713,0.0,2,61.33391980788444,0.39189,0.600299,0.481738,0.002613,0.590526
75895,ok,32ch_prm,880037,34,34.221,0.171207,0.07867,0.323717,0.0,2,14.637125093405468,0.38439,0.600299,0.53568,0.002479,0.569339
75903,ok,80ch_prm,1716111,23,23.736,0.153006,0.054885,0.311996,0.001459,2,1.7991675853016027,0.380698,0.089284,0.463715,0.001408,0.566522
75918,ok,32ch_prm,864811,30,30.267,0.24976,0.149599,0.691828,0.0,2,11.359913688052387,0.407466,0.597187,0.471072,0.018179,0.591029
75919,ok,60ch_prm,1131114,17,17.384,0.298985,0.116112,0.47303,0.0,1,9.768085994707459,0.58565,0.886485,0.515509,0.007834,0.574267
75928,ok,32ch_prm,730446,25,25.053,0.217731,0.138637,0.602811,0.0,1,6.806113722235326,0.4266,0.5975,0.525141,0.021377,0.580346
75958,ok,60ch_prm,1123783,17,17.379,0.186446,0.0702,0.316507,0.0,1,8.014411020156128,0.602685,0.885663,0.638406,0.000843,0.48564
75959,ok,60ch_prm,1207758,18,18.585,0.309426,0.117732,0.529091,0.0,1,12.66056772028806,0.561729,0.885663,0.55306,0.007846,0.525172
75963,ok,60ch_prm,1191829,18,18.502,0.298611,0.118503,0.483253,0.0,1,23.210986622718128,0.563521,0.885993,0.501332,0.008134,0.5745
75992,ok,32ch_prm,706475,24,24.374,0.157544,0.062501,0.280529,0.0,1,3.773430137156378,0.408836,0.59937,0.497001,0.00208,0.582391
75996,ok,48ch_prm,936976,19,19.657,0.145851,0.049459,0.275774,0.045385,1,0.5801991037566328,0.495869,0.067595,0.532451,0.003659,0.49458
75997,ok,32ch_prm,682703,24,24.553,0.154287,0.073064,0.278106,0.0,1,3.8514972413335573,0.278163,0.573082,0.413147,0.001853,0.614669
76020,ok,48ch_prm,938232,19,19.611,0.145297,0.048207,0.268159,0.059247,1,0.5741071328593645,0.45707,0.066162,0.504022,0.003681,0.522047
76042,ok,80ch_prm,1723444,24,24.362,0.165201,0.053921,0.304125,0.06062,1,2.2424876811255845,0.379013,0.096675,0.460741,0.001715,0.567979
